path,stratum,confidence,reason,imports_surface
tools/hook_output_spill.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/image_generation_tool.py,S5,HIGH,edge capability (image_gen),
tools/image_source.py,S5,HIGH,edge capability (image_source),
tools/interrupt.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/kanban_tools.py,S5,HIGH,edge capability (kanban),
tools/lazy_deps.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/managed_tool_gateway.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/mcp_dashboard_oauth.py,S4,HIGH,extension infrastructure (mcp_),
tools/mcp_oauth.py,S4,HIGH,extension infrastructure (mcp_),
tools/mcp_oauth_manager.py,S4,HIGH,extension infrastructure (mcp_),
tools/mcp_schema_cache.py,S4,HIGH,extension infrastructure (mcp_),
tools/mcp_stdio_watchdog.py,S4,HIGH,extension infrastructure (mcp_),
tools/mcp_tool.py,S4,HIGH,extension infrastructure (mcp_),
tools/memory_tool.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/microsoft_graph_auth.py,S5,HIGH,edge capability (microsoft_graph),
tools/microsoft_graph_client.py,S5,HIGH,edge capability (microsoft_graph),
tools/neutts_synth.py,S5,HIGH,edge capability (tts),
tools/open_preview_tool.py,S5,HIGH,edge capability (preview),
tools/openrouter_client.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/osv_check.py,S4,HIGH,extension infrastructure (osv),
tools/patch_parser.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/path_security.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/plugin_guard.py,S4,HIGH,extension infrastructure (plugin),
tools/process_registry.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/project_tools.py,S5,HIGH,edge capability (project_tool),
tools/react_to_message_tool.py,S5,HIGH,edge capability (react_to_message),
tools/read_extract.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
tools/read_preview_tool.py,S5,HIGH,edge capability (preview),
tools/read_terminal_tool.py,S5,HIGH,edge capability (read_terminal),
tools/read_window_tool.py,S5,HIGH,edge capability (window),
tools/registry.py,S0,HIGH,tool registry (nucleus),
